rain,tmax,tmin,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,SCEC_mean,rain_more_50,maxt_sum2,irrigation,zone,scenario
453,287.54999999999995,281.15,10.7,105.75,26.316667,132.33333333333297,1.26333333333333,1.45,32.67,33.72,5.83666666666667,18.1,0,0.0,rainfed,6,T+10%
196,297.95,284.54999999999995,22.7,93.0,43.6,148.66666666666598,1.30333333333333,1.54,19.4633333333333,48.9933333333333,7.46333333333333,25.7666666666667,0,0.0,irrigated,9,T0
505,289.95,282.25,10.3,107.716667,31.366667,130.666666666667,1.41333333333333,2.09666666666667,25.2066666666667,36.75,6.17,16.2333333333333,0,0.0,rainfed,6,T0
246,288.15,278.25,13.3,119.816667,34.033333,145.666666666666,1.41333333333333,1.75,24.48,45.2666666666667,7.36,17.6333333333333,0,0.0,irrigated,4,T-5%
32,300.34999999999997,283.34999999999997,24.0,94.683333,40.15,138.66666666666598,1.23333333333333,0.576666666666667,20.1233333333333,43.9,7.93,17.9333333333333,0,0.0,irrigated,7,T+10%
113,287.45,276.45,12.9,117.016667,39.383333,132.66666666666703,1.38333333333333,1.37333333333333,21.9433333333333,40.01,7.17,21.7,0,3.84999999999999,irrigated,3,T+5%
301,288.95,278.65,12.0,113.516667,33.85,150.99999999999997,1.56333333333333,1.6,28.52,47.5733333333333,7.30666666666667,21.6666666666667,0,0.850000000000001,irrigated,4,T-10%
311,285.84999999999997,273.84999999999997,13.9,108.3,35.166667,126.66666666666698,1.38,2.11,20.9366666666667,37.15,6.79333333333333,17.6333333333333,0,0.0,rainfed,3,T-10%
9,301.25,285.25,24.4,93.516667,42.816667,150.66666666666697,1.36333333333333,0.886666666666667,22.71,48.69,7.89,19.5333333333333,0,0.300000000000001,irrigated,9,T-5%
217,288.45,277.75,13.3,115.55,34.816667,143.333333333333,1.41333333333333,1.42,25.0166666666667,44.2066666666667,7.42333333333333,20.7666666666667,0,0.0,irrigated,4,T-10%
223,287.34999999999997,273.75,15.9,109.5,36.6,137.666666666666,1.41333333333333,1.28,22.66,41.8866666666667,7.19,22.5333333333333,0,0.0,rainfed,3,T+10%
