rain,tmax,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,maxt1,rain1,srad1,maxt2,rain2,srad2,zone,scenario
189,288.65,12.6,113.883333,35.316667,136.333333333333,1.41333333333333,1.19,24.2733333333333,40.3466666666667,7.06666666666667,13.1678571428571,155.2,2017.2,29.2886363636364,38.8,1049.3,4,T+5%
264,285.45,14.2,120.733333,36.966667,139.666666666666,1.45333333333333,1.14666666666667,23.66,42.5833333333333,6.83333333333333,10.2968609865471,157.0,2950.6,25.7473684210526,106.9,772.0,4,T+5%
236,287.95,14.0,116.866667,40.383333,132.33333333333397,1.43333333333333,1.96,20.1033333333333,40.53,6.86333333333333,12.1198156682028,68.8,2680.8,28.4125,65.8,869.5,3,T-5%
98,290.75,10.7,104.15,30.016667,126.333333333334,1.42333333333333,1.35333333333333,22.1466666666667,36.5833333333333,6.36333333333333,14.38,13.8,1107.1,25.35,69.3,716.4,6,T+5%
210,289.15,12.9,106.766667,31.85,125.0,1.35333333333333,1.33333333333333,22.8966666666667,35.5233333333333,6.15333333333333,12.9048275862069,117.1,1522.0,23.3755555555556,98.1,834.0,6,T+5%
172,285.84999999999997,13.2,116.916667,38.916667,137.99999999999997,1.35333333333333,1.38,22.73,42.0533333333333,7.27666666666667,9.77798165137615,113.7,2595.3,28.395,58.6,795.0,3,T-10%
144,302.04999999999995,22.9,82.066667,44.9,144.00000000000003,1.27333333333333,0.566666666666667,17.6933333333333,47.49,7.81333333333333,21.5530303030303,66.8,1320.0,30.0175,23.5,958.8,9,T-10%
187,288.15,13.0,105.716667,33.75,136.0,1.37333333333333,1.44666666666667,25.0,40.0833333333333,6.62666666666667,12.412,79.3,2026.2,25.2381818181818,140.4,1022.1,6,T+5%
54,291.65,18.0,100.216667,26.866667,121.66666666666701,1.27333333333333,1.99666666666667,23.7733333333333,32.6333333333333,5.94,16.9364341085271,18.9,2156.4,22.3052631578947,34.9,1192.1,6,T+5%
154,281.15,14.0,87.433333,44.016667,145.99999999999997,1.38333333333333,0.856666666666667,18.9066666666667,48.02,8.02666666666667,3.94203539823009,115.9,2663.8,28.9714285714286,37.7,1050.6,9,T+5%
260,294.95,21.8,81.133333,43.15,133.99999999999997,1.25,2.40333333333333,23.98,39.26,7.52,17.1472972972973,110.2,1524.9,23.8949152542373,119.1,1329.9,9,T+5%
345,286.95,13.4,119.816667,34.033333,145.666666666666,1.41333333333333,1.75,24.48,45.2666666666667,7.36,10.4485714285714,209.6,2026.4,23.7719298245614,135.2,1116.1,4,T-5%
124,288.84999999999997,11.9,111.016667,35.033333,128.33333333333303,1.38333333333333,1.24666666666667,21.4166666666667,37.8766666666667,7.03,13.8917874396135,62.0,2227.7,28.5216216216216,98.9,704.5,4,T+5%
141,287.75,13.6,117.533333,37.5,130.333333333334,1.42333333333333,1.39,21.65,38.88,7.17666666666667,12.4995215311005,80.5,2562.6,27.7078947368421,60.8,850.5,4,T0
116,289.25,11.6,104.666667,32.95,129.333333333334,1.35333333333333,2.8,21.4166666666667,38.4966666666667,6.36666666666667,13.590243902439,64.3,1577.4,25.3377777777778,49.7,819.2,6,T0
204,289.15,12.0,112.9,35.05,133.66666666666703,1.46333333333333,1.06333333333333,23.8,39.5133333333333,7.03666666666667,13.2635359116022,113.6,1805.8,26.4442307692308,110.5,968.1,4,T-10%
35,297.45,22.2,106.55,38.9,130.0,1.29333333333333,0.746666666666667,18.6733333333333,40.1133333333333,7.36333333333333,19.1357142857143,26.7,1717.1,28.6934782608696,8.6,1093.0,7,T-10%
213,288.75,11.9,113.85,34.016667,143.33333333333297,1.48,1.79333333333333,25.36,43.73,7.25666666666667,12.9395604395604,109.0,1836.5,24.9673469387755,88.1,874.8,4,T-5%
260,287.54999999999995,12.5,118.35,35.05,131.33333333333297,1.41333333333333,1.10333333333333,21.7266666666667,39.2733333333333,6.66666666666667,12.4295918367347,182.0,2214.4,25.4119047619048,78.0,786.7,4,T-10%
131,289.15,12.4,104.683333,31.466667,141.66666666666703,1.42333333333333,0.983333333333333,26.4366666666667,42.52,6.11666666666667,13.2297297297297,82.4,1619.3,23.1875,31.6,753.1,6,T-10%
97,298.04999999999995,20.6,111.15,40.683333,126.66666666666698,1.32,1.21,19.6566666666667,38.1533333333333,7.3,22.7621212121212,41.6,1416.2,27.3642857142857,53.8,822.2,2,T-5%
7,287.25,14.5,81.65,36.85,135.333333333334,1.32,0.733333333333333,21.4533333333333,41.63,7.78333333333333,12.7580952380952,1.1,2985.2,29.2571428571429,0.5,1153.1,9,T+5%
214,287.84999999999997,11.7,113.85,34.016667,143.33333333333297,1.48,1.79333333333333,25.36,43.73,7.25666666666667,12.2455026455026,62.8,1862.1,25.4851063829787,151.2,840.9,4,T-10%
